Rank,Year
1,2006.0
2,1985.0
3,2008.0
4,2009.0
5,1996.0
6,1989.0
7,2006.0
8,2006.0
9,2009.0
10,1984.0
11,2005.0
12,2005.0
13,1999.0
14,2007.0
15,2009.0
16,2010.0
17,2013.0
18,2004.0
19,1990.0
20,2005.0
21,2006.0
22,1989.0
23,1988.0
24,2013.0
25,2002.0
26,2002.0
27,2010.0
28,2005.0
29,2001.0
30,2011.0
31,1998.0
32,2010.0
33,2013.0
34,2015.0
35,2012.0
36,2012.0
37,2009.0
38,2011.0
39,2001.0
40,2008.0
41,2010.0
42,2005.0
43,2011.0
44,2007.0
45,2014.0
46,2009.0
47,1996.0
48,2004.0
49,2007.0
50,2014.0
51,1992.0
52,2008.0
53,1997.0
54,2011.0
55,2010.0
56,2009.0
57,2008.0
58,1993.0
59,2004.0
60,2004.0
61,2011.0
62,2013.0
63,2010.0
64,1996.0
65,2012.0
66,2012.0
67,1997.0
68,2013.0
69,2010.0
70,1999.0
71,2007.0
72,1994.0
73,2013.0
74,2012.0
75,2007.0
76,2011.0
77,1992.0
78,2015.0
79,2010.0
80,2004.0
81,2007.0
82,2012.0
83,2012.0
84,2009.0
85,1997.0
86,2007.0
87,2001.0
88,1999.0
89,2008.0
90,1982.0
91,2005.0
92,2010.0
93,2015.0
94,2014.0
95,1998.0
96,1997.0
97,1988.0
98,2014.0
99,2008.0
100,2011.0
101,2006.0
102,2015.0
103,2009.0
104,2011.0
105,2003.0
106,1998.0
107,1998.0
108,2001.0
109,2014.0
110,2015.0
111,2003.0
112,2012.0
113,2013.0
114,2004.0
115,2002.0
116,2011.0
117,1996.0
118,2010.0
119,2008.0
120,2009.0
121,2007.0
122,2011.0
123,2005.0
124,2010.0
125,2014.0
126,2010.0
127,2011.0
128,1986.0
129,2012.0
130,2001.0
131,2004.0
132,2002.0
133,2000.0
134,2009.0
135,2010.0
136,2002.0
137,1992.0
138,2004.0
139,1999.0
140,2010.0
141,2011.0
142,2006.0
143,2001.0
144,1992.0
145,2008.0
146,1998.0
147,2013.0
148,2006.0
149,2008.0
150,2009.0
151,2007.0
152,1998.0
153,1996.0
154,2006.0
155,2014.0
156,1988.0
157,2009.0
158,1999.0
159,2007.0
160,2011.0
161,2009.0
162,2008.0
163,2001.0
164,2001.0
165,2001.0
166,1999.0
167,2008.0
168,2001.0
169,2014.0
170,2009.0
171,1989.0
172,1999.0
173,2012.0
174,2000.0
175,2003.0
176,1999.0
177,2009.0
178,2007.0
179,1997.0
181,2004.0
182,2012.0
183,2003.0
184,2012.0
185,1994.0
186,2012.0
187,2007.0
188,1995.0
189,2013.0
190,2008.0
191,2003.0
192,1992.0
193,2010.0
194,2014.0
195,1996.0
196,2006.0
197,2009.0
198,2014.0
199,2006.0
200,2010.0
201,1999.0
202,1996.0
203,1999.0
204,2014.0
205,1999.0
206,1998.0
207,2007.0
208,2007.0
209,2008.0
210,2007.0
211,2007.0
